,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Tag,Tag,LOC,-0.60714286,0.00000000,de,2.80000000,,3045616,L,47.11667000,17.48333000,EUROPE,Hungary,WCE
Liveblog,Liveblog,LOC,-0.25000000,0.00000000,de,2.80000000,,0,,,,,,
Suppe,Suppe,LOC,0.00000000,0.00000000,de,2.80000000,,12030225,P,35.78904000,127.42115000,ASIA,South Korea,EAS
Unfallkrankenhaus,Unfallkrankenhaus,LOC,0.25000000,0.00000000,de,2.80000000,,0,,,,,,
Schlafsäcken,Schlafsäcken,LOC,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
MV,MV,LOC,0.00000000,0.35714286,de,2.80000000,4003217-6,6255147,L,29.84064000,89.29688000,ASIA,China,TIB
Salzburg,Salzburg,LOC,0.25000000,0.00000000,de,2.80000000,4076982-3,2766824,P,47.79941000,13.04399000,EUROPE,Austria,WCE
Kiels Kältebus,Kiels Kältebus,LOC,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Jänner,Jänner,LOC,0.00000000,0.37037037,de,2.70000000,,2895197,T,47.57568000,13.02088000,EUROPE,Germany,WCE
Korsika,Korsika,LOC,-0.25000000,0.25000000,de,2.00000000,4212951-5,3038334,P,41.91886000,8.73812000,EUROPE-AFRICA,France,MED
Sonnenschein,Sonnenschein,LOC,0.00000000,0.00000000,de,2.00000000,,2831137,T,54.08202000,10.75910000,EUROPE,Germany,NEU
Ost-,Ost-,LOC,0.00000000,0.00000000,de,2.00000000,,400741,A,0.00000000,38.00000000,AFRICA,Kenya,SEAF
Oleander,Oleander,LOC,0.35000000,0.00000000,de,2.00000000,,8159876,L,-34.81379000,138.72324000,OCEANIA,Australia,SAU
Wasserkuppe,Wasserkuppe,LOC,-0.25000000,0.25000000,de,2.00000000,4064748-1,2813735,T,50.49820000,9.93739000,EUROPE,Germany,WCE
Hochgebirge,Hochgebirge,LOC,-0.35000000,0.00000000,de,2.00000000,4252330-8,2768175,P,47.63333000,15.93333000,EUROPE,Austria,WCE
Wochenanfang,Wochenanfang,LOC,-0.70000000,0.00000000,de,2.00000000,,0,,,,,,
Landeshälfte,Landeshälfte,LOC,0.00000000,0.00000000,de,2.00000000,,0,,,,,,
Lebensgefahr,Lebensgefahr,LOC,0.00000000,0.00000000,de,2.00000000,,0,,,,,,
